District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Bara,Narayani,Terai,Central,2070/71,2013/14,Occult blood,10
Bara,Narayani,Terai,Central,2070/71,2013/14,Reducing sugar,1
Bara,Narayani,Terai,Central,2070/71,2013/14,Urine test,1843
Bara,Narayani,Terai,Central,2070/71,2013/14,Bile salts,0
Bara,Narayani,Terai,Central,2070/71,2013/14,Bile Pigments,0
Bara,Narayani,Terai,Central,2070/71,2013/14,Urobili nogen,0
Bara,Narayani,Terai,Central,2070/71,2013/14,Porpho bilinogen,0
Bara,Narayani,Terai,Central,2070/71,2013/14,Acetone,0
Bara,Narayani,Terai,Central,2070/71,2013/14,Chyle,0
Bara,Narayani,Terai,Central,2070/71,2013/14,Semen Analysis,1
Bara,Narayani,Terai,Central,2070/71,2013/14,Bence John's Protein,0
Bara,Narayani,Terai,Central,2070/71,2013/14,Specific gravity,0
Bara,Narayani,Terai,Central,2070/71,2013/14,Others,4
Parsa,Narayani,Terai,Central,2070/71,2013/14,Stool Test,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Occult blood,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Reducing sugar,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Urine test,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Bile salts,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Bile Pigments,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Urobili nogen,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Porpho bilinogen,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Acetone,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Chyle,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Semen Analysis,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Bence John's Protein,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Specific gravity,0
Parsa,Narayani,Terai,Central,2070/71,2013/14,Others,0
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Stool Test,11306
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Occult blood,2895
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Reducing sugar,210
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Urine test,66610
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Bile salts,105
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Bile Pigments,32
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Urobili nogen,32
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Porpho bilinogen,0
Chitwan,Narayani,Terai,Central,2070/71,2013/14,Acetone,445
