District,Year,Visit,Age group,Number of women
Bara,2067/68,First Visit,> or equal 20 Years,13199
Bara,2067/68,Fourth Visit,Four Time Visits,9155
Parsa,2067/68,First Visit,< 20 Year,0
Parsa,2067/68,First Visit,> or equal 20 Years,12899
Parsa,2067/68,Fourth Visit,Four Time Visits,7626
Chitwan,2067/68,First Visit,< 20 Year,4235
Chitwan,2067/68,First Visit,> or equal 20 Years,12355
Chitwan,2067/68,Fourth Visit,Four Time Visits,8581
Gorkha,2067/68,First Visit,< 20 Year,1124
Gorkha,2067/68,First Visit,> or equal 20 Years,4470
Gorkha,2067/68,Fourth Visit,Four Time Visits,2566
Lamjung,2067/68,First Visit,< 20 Year,1082
Lamjung,2067/68,First Visit,> or equal 20 Years,3698
Lamjung,2067/68,Fourth Visit,Four Time Visits,3002
Tanahu,2067/68,First Visit,< 20 Year,1820
Tanahu,2067/68,First Visit,> or equal 20 Years,4395
Tanahu,2067/68,Fourth Visit,Four Time Visits,3243
Syangja,2067/68,First Visit,< 20 Year,1186
Syangja,2067/68,First Visit,> or equal 20 Years,6022
Syangja,2067/68,Fourth Visit,Four Time Visits,4343
Kaski,2067/68,First Visit,< 20 Year,3229
Kaski,2067/68,First Visit,> or equal 20 Years,11707
Kaski,2067/68,Fourth Visit,Four Time Visits,11235
Manang,2067/68,First Visit,< 20 Year,20
Manang,2067/68,First Visit,> or equal 20 Years,59
Manang,2067/68,Fourth Visit,Four Time Visits,33
Mustang,2067/68,First Visit,< 20 Year,29
Mustang,2067/68,First Visit,> or equal 20 Years,158
Mustang,2067/68,Fourth Visit,Four Time Visits,105
Myagdi,2067/68,First Visit,< 20 Year,807
Myagdi,2067/68,First Visit,> or equal 20 Years,2250
Myagdi,2067/68,Fourth Visit,Four Time Visits,1726
Parbat,2067/68,First Visit,< 20 Year,668
Parbat,2067/68,First Visit,> or equal 20 Years,2293
Parbat,2067/68,Fourth Visit,Four Time Visits,2270
Baglung,2067/68,First Visit,< 20 Year,1607
Baglung,2067/68,First Visit,> or equal 20 Years,5329
Baglung,2067/68,Fourth Visit,Four Time Visits,3960
Gulmi,2067/68,First Visit,< 20 Year,1329
Gulmi,2067/68,First Visit,> or equal 20 Years,5587
Gulmi,2067/68,Fourth Visit,Four Time Visits,4597
Palpa,2067/68,First Visit,< 20 Year,2046
Palpa,2067/68,First Visit,> or equal 20 Years,7750
Palpa,2067/68,Fourth Visit,Four Time Visits,3883
Nawalparasi,2067/68,First Visit,< 20 Year,2747
Nawalparasi,2067/68,First Visit,> or equal 20 Years,10952
Nawalparasi,2067/68,Fourth Visit,Four Time Visits,8283
Rupandehi,2067/68,First Visit,< 20 Year,0
Rupandehi,2067/68,First Visit,> or equal 20 Years,27374
Rupandehi,2067/68,Fourth Visit,Four Time Visits,15483
Kapilvastu,2067/68,First Visit,< 20 Year,1322
Kapilvastu,2067/68,First Visit,> or equal 20 Years,14461
Kapilvastu,2067/68,Fourth Visit,Four Time Visits,9770
Arghakhanchi,2067/68,First Visit,< 20 Year,764
Arghakhanchi,2067/68,First Visit,> or equal 20 Years,2799
Arghakhanchi,2067/68,Fourth Visit,Four Time Visits,1878
Pyuthan,2067/68,First Visit,< 20 Year,1447
Pyuthan,2067/68,First Visit,> or equal 20 Years,4767
Pyuthan,2067/68,Fourth Visit,Four Time Visits,3237
Rolpa,2067/68,First Visit,< 20 Year,1361
Rolpa,2067/68,First Visit,> or equal 20 Years,3971
Rolpa,2067/68,Fourth Visit,Four Time Visits,2831
Rukum,2067/68,First Visit,< 20 Year,2026
Rukum,2067/68,First Visit,> or equal 20 Years,4204
Rukum,2067/68,Fourth Visit,Four Time Visits,2109
Salyan,2067/68,First Visit,< 20 Year,1630
Salyan,2067/68,First Visit,> or equal 20 Years,3768
Salyan,2067/68,Fourth Visit,Four Time Visits,2197
Dang,2067/68,First Visit,< 20 Year,4120
Dang,2067/68,First Visit,> or equal 20 Years,7938
Dang,2067/68,Fourth Visit,Four Time Visits,6554
Banke,2067/68,First Visit,< 20 Year,2461
Banke,2067/68,First Visit,> or equal 20 Years,9891
Banke,2067/68,Fourth Visit,Four Time Visits,5709
Bardiya,2067/68,First Visit,< 20 Year,2404
Bardiya,2067/68,First Visit,> or equal 20 Years,6960
Bardiya,2067/68,Fourth Visit,Four Time Visits,6082
Surkhet,2067/68,First Visit,< 20 Year,3480
Surkhet,2067/68,First Visit,> or equal 20 Years,6572
Surkhet,2067/68,Fourth Visit,Four Time Visits,6504
Dailekh,2067/68,First Visit,< 20 Year,1658
Dailekh,2067/68,First Visit,> or equal 20 Years,5438
Dailekh,2067/68,Fourth Visit,Four Time Visits,4226
Jajarkot,2067/68,First Visit,< 20 Year,1426
Jajarkot,2067/68,First Visit,> or equal 20 Years,3385
Jajarkot,2067/68,Fourth Visit,Four Time Visits,1993
Dolpa,2067/68,First Visit,< 20 Year,109
Dolpa,2067/68,First Visit,> or equal 20 Years,554
Dolpa,2067/68,Fourth Visit,Four Time Visits,325
Jumla,2067/68,First Visit,< 20 Year,1126
Jumla,2067/68,First Visit,> or equal 20 Years,2645
Jumla,2067/68,Fourth Visit,Four Time Visits,1476
Kalikot,2067/68,First Visit,< 20 Year,921
Kalikot,2067/68,First Visit,> or equal 20 Years,3467
Kalikot,2067/68,Fourth Visit,Four Time Visits,994
Mugu,2067/68,First Visit,< 20 Year,482
Mugu,2067/68,First Visit,> or equal 20 Years,1318
Mugu,2067/68,Fourth Visit,Four Time Visits,745
Humla,2067/68,First Visit,< 20 Year,371
Humla,2067/68,First Visit,> or equal 20 Years,1417
Humla,2067/68,Fourth Visit,Four Time Visits,1035
Bajura,2067/68,First Visit,< 20 Year,531
Bajura,2067/68,First Visit,> or equal 20 Years,3207
Bajura,2067/68,Fourth Visit,Four Time Visits,1317
Bajhang,2067/68,First Visit,< 20 Year,1172
Bajhang,2067/68,First Visit,> or equal 20 Years,4564
Bajhang,2067/68,Fourth Visit,Four Time Visits,2280
Achham,2067/68,First Visit,< 20 Year,1511
Achham,2067/68,First Visit,> or equal 20 Years,6761
Achham,2067/68,Fourth Visit,Four Time Visits,4646
Doti,2067/68,First Visit,< 20 Year,1101
Doti,2067/68,First Visit,> or equal 20 Years,6081
Doti,2067/68,Fourth Visit,Four Time Visits,3243
Kailali,2067/68,First Visit,< 20 Year,3028
Kailali,2067/68,First Visit,> or equal 20 Years,10258
Kailali,2067/68,Fourth Visit,Four Time Visits,8146
Kanchanpur,2067/68,First Visit,< 20 Year,1871
Kanchanpur,2067/68,First Visit,> or equal 20 Years,7424
Kanchanpur,2067/68,Fourth Visit,Four Time Visits,4996
Dadeldhura,2067/68,First Visit,< 20 Year,1767
Dadeldhura,2067/68,First Visit,> or equal 20 Years,6032
Dadeldhura,2067/68,Fourth Visit,Four Time Visits,2822
Baitadi,2067/68,First Visit,< 20 Year,1055
Baitadi,2067/68,First Visit,> or equal 20 Years,4920
Baitadi,2067/68,Fourth Visit,Four Time Visits,2698
Darchula,2067/68,First Visit,< 20 Year,697
Darchula,2067/68,First Visit,> or equal 20 Years,2633
Darchula,2067/68,Fourth Visit,Four Time Visits,2063
Taplejung,2068/69,First Visit,< 20 Year,598
Taplejung,2068/69,First Visit,> or equal 20 Years,2338
Taplejung,2068/69,Fourth Visit,Four Time Visits,1705
Panchthar,2068/69,First Visit,< 20 Year,744
Panchthar,2068/69,First Visit,> or equal 20 Years,3476
Panchthar,2068/69,Fourth Visit,Four Time Visits,2441
Ilam,2068/69,First Visit,< 20 Year,1426
Ilam,2068/69,First Visit,> or equal 20 Years,3805
Ilam,2068/69,Fourth Visit,Four Time Visits,3273
Jhapa,2068/69,First Visit,< 20 Year,5406
Jhapa,2068/69,First Visit,> or equal 20 Years,14869
Jhapa,2068/69,Fourth Visit,Four Time Visits,10034
Morang,2068/69,First Visit,< 20 Year,6070
Morang,2068/69,First Visit,> or equal 20 Years,20099
Morang,2068/69,Fourth Visit,Four Time Visits,11473
Sunsari,2068/69,First Visit,< 20 Year,3622
Sunsari,2068/69,First Visit,> or equal 20 Years,12981
Sunsari,2068/69,Fourth Visit,Four Time Visits,8976
Dhankuta,2068/69,First Visit,< 20 Year,604
Dhankuta,2068/69,First Visit,> or equal 20 Years,2739
