District,zone,belt,region,Year BS,Year AD,Visit,Age group,Number of women,Zone,Belt,Region
Palpa,Lumbini,Hill,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,3895,Lumbini,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2066/67,2009/10,First Visit,< 20 Year,703,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2066/67,2009/10,First Visit,> or equal 20 Years,2409,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,2263,Dhawalagiri,Hill,Western
Rupandehi,Lumbini,Terai,Western,2066/67,2009/10,First Visit,< 20 Year,0,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2066/67,2009/10,First Visit,> or equal 20 Years,24578,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,14822,Lumbini,Terai,Western
Syangja,Gandaki,Hill,Western,2066/67,2009/10,First Visit,< 20 Year,1169,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2066/67,2009/10,First Visit,> or equal 20 Years,5109,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,4222,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2066/67,2009/10,First Visit,< 20 Year,1917,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2066/67,2009/10,First Visit,> or equal 20 Years,4526,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2066/67,2009/10,Fourth Visit,Four Time Visits,3329,Gandaki,Hill,Western
Banke,Bheri,Terai,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,2399,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,10698,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,5724,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,3090,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,7769,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,6795,Bheri,Terai,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,1551,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,5781,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,4315,Bheri,Hill,Mid-Western
Dang,Rapti,Terai,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,4098,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,8639,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,6108,Rapti,Terai,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,178,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,655,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,334,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,661,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,2321,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,1425,Karnali,Mountain,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,1480,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,3523,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,2253,Bheri,Hill,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,1523,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,3455,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,1509,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,1093,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,3332,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,923,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,608,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,1350,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,554,Karnali,Mountain,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,1513,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,5177,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,3595,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,1356,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,4318,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,2535,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,2226,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,3994,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,2375,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,1696,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,4176,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,2224,Rapti,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2066/67,2009/10,First Visit,< 20 Year,3658,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2066/67,2009/10,First Visit,> or equal 20 Years,7484,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,6732,Bheri,Hill,Mid-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,First Visit,< 20 Year,1671,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,First Visit,> or equal 20 Years,7248,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,5399,Seti,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,First Visit,< 20 Year,1389,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,First Visit,> or equal 20 Years,5530,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,2626,Mahakali,Hill,Far-Western
Bajhang,Seti,Mountain,Far-Western,2066/67,2009/10,First Visit,< 20 Year,1196,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2066/67,2009/10,First Visit,> or equal 20 Years,4555,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,2010,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2066/67,2009/10,First Visit,< 20 Year,629,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2066/67,2009/10,First Visit,> or equal 20 Years,3202,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,1030,Seti,Mountain,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,First Visit,< 20 Year,1107,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,First Visit,> or equal 20 Years,4626,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,4053,Mahakali,Hill,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,First Visit,< 20 Year,725,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,First Visit,> or equal 20 Years,2651,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,2287,Mahakali,Mountain,Far-Western
Doti,Seti,Hill,Far-Western,2066/67,2009/10,First Visit,< 20 Year,1438,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2066/67,2009/10,First Visit,> or equal 20 Years,5608,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2066/67,2009/10,Fourth Visit,Four Time Visits,2879,Seti,Hill,Far-Western
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,First Visit,< 20 Year,2609,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,First Visit,> or equal 20 Years,11360,Seti,Terai,Far-Western
